client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534766.mp3	在喜靈州戒毒所興建一座設施齊全的三層高建築物	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534768.mp3	博聞強記	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534769.mp3	嘩！真係好香，有得食未	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534784.mp3	芒果奇亞籽布甸	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534785.mp3	高掛天空照耀心痛難耐的我	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534786.mp3	是促其前進的，	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534788.mp3	我上司住喺小西灣藍灣半島	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534803.mp3	悲喜交集	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534804.mp3	美國華盛頓	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534805.mp3	向台下展示成功着了燈的麵包板	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534806.mp3	阿茂整餅	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534807.mp3	她懇求死神給予還陽機會	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534813.mp3	會邀你同赴黃泉	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534814.mp3	昨晚看見你時已經是全身水腫	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534816.mp3	你額有朝天骨，眼裡有靈光，仙人轉世，神仙下凡	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534823.mp3	真想與你 重遊那快樂故地	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534824.mp3	他們心裏自有一把尺	2	0				zh-HK	
497560b4c9019a0eb5845e5c90ef8d2eb97c67dd19256067d0753abc22ee0b0e27e709893fab3d57093ca40431c6d1fda87d284a67c7712222afc6426f6bcec3	common_voice_zh-HK_24534825.mp3	斯是陋室，惟吾德馨	2	0				zh-HK	
